loss,actor_loss,critic_loss,mean_entropy,mean_reward,mean_value,mean_returns,mean_advantage,gradient_norm
-0.0720,-0.0704,0.0147,0.8989,0.2714,1.1786,1.2462,0.0387,2.2150
-0.0061,-0.0025,0.0118,0.9470,0.3320,1.2837,1.2373,-0.0561,1.0271
-0.0943,-0.0962,0.0199,0.8063,0.2758,1.1746,1.1692,0.0353,0.5133
-0.1379,-0.1430,0.0261,0.7979,0.2952,1.2488,1.1876,0.0644,1.1606
-0.0870,-0.1007,0.0440,0.8326,0.3090,1.1029,1.1127,0.0418,0.4465
-0.0693,-0.0782,0.0324,0.7331,0.2779,1.0404,1.0488,0.0172,0.8719
0.0385,0.0163,0.0576,0.6693,0.2884,0.9361,0.9483,-0.0554,0.8301
-0.0511,-0.0548,0.0224,0.7493,0.2884,1.0372,1.0746,-0.0163,1.7214
-0.0107,-0.0282,0.0498,0.7437,0.2217,0.8736,0.8344,-0.0366,0.9348
-0.0352,-0.0557,0.0569,0.7933,0.2652,1.1329,1.0689,0.0337,3.4246
-0.0486,-0.0852,0.0895,0.8210,0.2187,0.9495,0.9363,0.0165,0.9935
0.0262,0.0118,0.0463,0.8750,0.2979,1.0686,1.0603,-0.0801,1.2687
-0.1031,-0.1069,0.0258,0.9103,0.2787,1.1200,1.1261,0.0361,0.9473
-0.1388,-0.1585,0.0521,0.6330,0.2693,1.1198,1.0420,0.1244,1.8118
-0.0996,-0.1211,0.0582,0.7608,0.2749,1.0454,1.0076,0.0575,0.8358
-0.1188,-0.1388,0.0547,0.7322,0.2327,1.0288,1.0453,0.0703,1.0798
0.1097,0.0660,0.1006,0.6583,0.2293,0.9697,0.9964,-0.1228,0.8260
-0.0187,-0.0259,0.0282,0.6876,0.2673,1.0500,1.0419,-0.0459,1.0579
-0.1229,-0.1255,0.0213,0.8030,0.3278,1.1565,1.1974,0.0841,0.8369
-0.1176,-0.1132,0.0082,0.8426,0.3469,1.3209,1.3116,0.0506,2.3320
0.0109,0.0147,0.0085,0.8039,0.3176,1.1670,1.1255,-0.0871,1.4426
-0.1181,-0.1132,0.0089,0.9374,0.3263,1.2488,1.2882,0.0609,2.5360
-0.0671,-0.0617,0.0101,1.0425,0.2631,1.2499,1.2345,-0.0306,1.2295
-0.1632,-0.1586,0.0101,0.9667,0.2838,1.2760,1.2591,0.0888,0.9815
-0.0426,-0.0425,0.0198,1.0054,0.2640,1.1902,1.1662,-0.0014,0.5530
-0.0218,-0.0526,0.0817,1.0111,0.2819,1.0226,1.0003,-0.0147,2.1653
-0.0475,-0.0594,0.0432,0.9661,0.2801,1.0207,1.0635,-0.0147,1.2171
-0.0807,-0.0878,0.0335,0.9661,0.2443,1.0046,1.0295,0.0392,1.6805
-0.1494,-0.1495,0.0202,0.9923,0.3357,1.1774,1.1431,0.0729,0.9918
-0.0814,-0.0822,0.0218,1.0176,0.3117,1.2473,1.2573,0.0363,0.8355
0.1084,0.0992,0.0421,1.1854,0.1997,1.1671,1.1675,-0.1692,1.2795
-0.0080,-0.0433,0.0881,0.8772,0.3012,0.9531,0.9522,-0.0320,0.9471
-0.0985,-0.1053,0.0327,0.9581,0.3235,1.1219,1.1183,0.0552,1.3078
-0.1044,-0.1047,0.0211,1.0189,0.2827,1.1769,1.1831,0.0453,1.6695
-0.0633,-0.0923,0.0750,0.8498,0.2626,0.9518,0.9642,0.0026,1.5001
